Configuration,Load Divergence Keys,Load Diversion Puts,Load Diversion Gets
ConsistentHashing_C0_read_heavy,0.006921453505236,0.006979733904974,0.007010513601979
ConsistentHashing_C0_write_heavy,0.00691846962474,0.006895919119033,0.006898016476352
ConsistentHashing_C1_read_heavy,0.000224229450913,0.000209786316987,8.21717050967369E-05
ConsistentHashing_C1_write_heavy,0.000220862045399,0.000205317147945,0.000214860272345
ConsistentHashing_C2_read_heavy,0.003873042028007,0.003872618069355,0.003944093672988
ConsistentHashing_C2_write_heavy,0.003814258278993,0.00381344061015,0.003954046888868
ConsistentHashing_dynamic_read_heavy,0.004728892150533,0.128410252529309,0.128331440935386
ConsistentHashing_dynamic_write_heavy,0.003871936985801,0.108702573347419,0.108640772566759
RandomSlicing_Jumping_C0_read_heavy,0,0,0
RandomSlicing_Jumping_C0_write_heavy,0,0,0
RandomSlicing_Jumping_C1_read_heavy,0.00048598398837,0.000421769383081,0.000406824323717
RandomSlicing_Jumping_C1_write_heavy,0.000491735509638,0.000469689877308,0.000465369398517
RandomSlicing_Jumping_C2_read_heavy,0.04685224545925,0.046800333023621,0.046805175340765
RandomSlicing_Jumping_C2_write_heavy,0.020522730815766,0.020604399983858,0.020698734954357
RandomSlicing_Jumping_dynamic_read_heavy,0.087326542350576,0.110920899465841,0.110894283648883
RandomSlicing_Jumping_dynamic_write_heavy,0.086797435089185,0.113249206708273,0.113294316144636
RandomSlicing_Random_C0_read_heavy,0,0,0
RandomSlicing_Random_C0_write_heavy,0,0,0
RandomSlicing_Random_C1_read_heavy,0.000121686136449,9.62343031905011E-05,0.000275411727501
RandomSlicing_Random_C1_write_heavy,0.010373771867117,0.00060254824441,0.00060744228062
RandomSlicing_Random_C2_read_heavy,0.001553491622246,0.000506617738417,0.000724784310883
RandomSlicing_Random_C2_write_heavy,0.000465726641393,0.000463517408674,0.000403211825046
RandomSlicing_Random_dynamic_read_heavy,0.083664308593015,0.109779875474177,0.109684752918102
RandomSlicing_Random_dynamic_write_heavy,0.086937947360199,0.104617066717467,0.104936146099951
RandomSlicing_Rotation_C0_read_heavy,0,0,0
RandomSlicing_Rotation_C0_write_heavy,0,0,0
RandomSlicing_Rotation_C1_read_heavy,0.024332259699017,0.02361906615074,0.023619276660313
RandomSlicing_Rotation_C1_write_heavy,0.024838822191572,0.026840859999491,0.026899836529136
RandomSlicing_Rotation_C2_read_heavy,0.016349261377966,0.016155923085201,0.015891613665953
RandomSlicing_Rotation_C2_write_heavy,0.019245471341502,0.020903001323041,0.018347354013196
RandomSlicing_Rotation_dynamic_read_heavy,0.201283762262123,0.16320302289516,0.163203109005639
RandomSlicing_Rotation_dynamic_write_heavy,UNDEF,UNDEF,UNDEF
Overall_ConsistentHashing,0.003821643008703,0.032386205130647,0.032384489514972
Overall_RandomSlicing_Jumping,0.030309584151598,0.036558287305248,0.03657058797636
Overall_RandomSlicing_Random,0.022889616527552,0.027008232485792,0.027078968645263
Overall_RandomSlicing_Rotation,0.040864225267454,0.035817410493376,0.035423027124891
